Value,Type,Category
2430900.0,True MC Data,Data
2582100.0,True MC Data,Data
2360600.0,True MC Data,Data
2645600.0,True MC Data,Data
2217800.0,True MC Data,Data
2589300.0,True MC Data,Data
2576600.0,True MC Data,Data
2325400.0,True MC Data,Data
2302400.0,True MC Data,Data
2445200.0,True MC Data,Data
2306200.0,True MC Data,Data
2337500.0,True MC Data,Data
2449800.0,True MC Data,Data
2569400.0,True MC Data,Data
2581400.0,True MC Data,Data
2304200.0,True MC Data,Data
2336000.0,True MC Data,Data
2421600.0,True MC Data,Data
2366000.0,True MC Data,Data
2372100.0,True MC Data,Data
2438000.0,True MC Data,Data
2183500.0,True MC Data,Data
2584500.0,True MC Data,Data
2373300.0,True MC Data,Data
2303800.0,True MC Data,Data
2497600.0,True MC Data,Data
2400600.0,True MC Data,Data
2198900.0,True MC Data,Data
2593600.0,True MC Data,Data
2501600.0,True MC Data,Data
2414000.0,True MC Data,Data
2706200.0,True MC Data,Data
2466000.0,True MC Data,Data
2487800.0,True MC Data,Data
2445600.0,True MC Data,Data
2377700.0,True MC Data,Data
2367400.0,True MC Data,Data
2304900.0,True MC Data,Data
2438800.0,True MC Data,Data
2219800.0,True MC Data,Data
2499500.0,True MC Data,Data
2448000.0,True MC Data,Data
2254000.0,True MC Data,Data
2521900.0,True MC Data,Data
2209000.0,True MC Data,Data
2456200.0,True MC Data,Data
2345100.0,True MC Data,Data
2604400.0,True MC Data,Data
2525600.0,True MC Data,Data
2498800.0,True MC Data,Data
2519000.0,True MC Data,Data
2310000.0,True MC Data,Data
2433200.0,True MC Data,Data
2428600.0,True MC Data,Data
2397700.0,True MC Data,Data
2392400.0,True MC Data,Data
2495200.0,True MC Data,Data
2591100.0,True MC Data,Data
2674100.0,True MC Data,Data
2436700.0,True MC Data,Data
2468800.0,True MC Data,Data
2516300.0,True MC Data,Data
2491100.0,True MC Data,Data
2432100.0,True MC Data,Data
2613400.0,True MC Data,Data
2413000.0,True MC Data,Data
2395600.0,True MC Data,Data
2564500.0,True MC Data,Data
2422900.0,True MC Data,Data
2390500.0,True MC Data,Data
2452900.0,True MC Data,Data
2239300.0,True MC Data,Data
2322100.0,True MC Data,Data
2412800.0,True MC Data,Data
2489700.0,True MC Data,Data
2545200.0,True MC Data,Data
2515600.0,True MC Data,Data
2266700.0,True MC Data,Data
2377000.0,True MC Data,Data
2242700.0,True MC Data,Data
2306300.0,True MC Data,Data
2484000.0,True MC Data,Data
2520200.0,True MC Data,Data
2427800.0,True MC Data,Data
2337400.0,True MC Data,Data
2332600.0,True MC Data,Data
2381500.0,True MC Data,Data
2417500.0,True MC Data,Data
2461500.0,True MC Data,Data
2530400.0,True MC Data,Data
2450900.0,True MC Data,Data
2543200.0,True MC Data,Data
2539000.0,True MC Data,Data
2401000.0,True MC Data,Data
2401800.0,True MC Data,Data
2413700.0,True MC Data,Data
2575000.0,True MC Data,Data
2571800.0,True MC Data,Data
2512500.0,True MC Data,Data
2500600.0,True MC Data,Data
2335000.0,True MC Data,Data
2508100.0,True MC Data,Data
2322500.0,True MC Data,Data
2524900.0,True MC Data,Data
2328300.0,True MC Data,Data
2539400.0,True MC Data,Data
2326300.0,True MC Data,Data
2358500.0,True MC Data,Data
2487600.0,True MC Data,Data
2498300.0,True MC Data,Data
2616900.0,True MC Data,Data
2509200.0,True MC Data,Data
2278900.0,True MC Data,Data
2298600.0,True MC Data,Data
2590000.0,True MC Data,Data
2551100.0,True MC Data,Data
2550300.0,True MC Data,Data
2411400.0,True MC Data,Data
2473100.0,True MC Data,Data
2477400.0,True MC Data,Data
2232600.0,True MC Data,Data
2578200.0,True MC Data,Data
2586700.0,True MC Data,Data
2406700.0,True MC Data,Data
2307500.0,True MC Data,Data
2467900.0,True MC Data,Data
2535600.0,True MC Data,Data
2434700.0,True MC Data,Data
2480900.0,True MC Data,Data
2381000.0,True MC Data,Data
2431800.0,True MC Data,Data
2585300.0,True MC Data,Data
2488200.0,True MC Data,Data
2317800.0,True MC Data,Data
2228300.0,True MC Data,Data
2281400.0,True MC Data,Data
2288300.0,True MC Data,Data
2582000.0,True MC Data,Data
2352000.0,True MC Data,Data
2585100.0,True MC Data,Data
2337500.0,True MC Data,Data
2401600.0,True MC Data,Data
2447400.0,True MC Data,Data
2443800.0,True MC Data,Data
2394800.0,True MC Data,Data
2440200.0,True MC Data,Data
2383100.0,True MC Data,Data
2387600.0,True MC Data,Data
2345600.0,True MC Data,Data
2425200.0,True MC Data,Data
2382300.0,True MC Data,Data
2502200.0,True MC Data,Data
2516200.0,True MC Data,Data
2530200.0,True MC Data,Data
2534600.0,True MC Data,Data
2550900.0,True MC Data,Data
2566600.0,True MC Data,Data
2567700.0,True MC Data,Data
2455600.0,True MC Data,Data
2388400.0,True MC Data,Data
2216800.0,True MC Data,Data
2512700.0,True MC Data,Data
2340200.0,True MC Data,Data
2353600.0,True MC Data,Data
2407800.0,True MC Data,Data
2358400.0,True MC Data,Data
2484400.0,True MC Data,Data
2453600.0,True MC Data,Data
2459700.0,True MC Data,Data
2509200.0,True MC Data,Data
2579700.0,True MC Data,Data
2362400.0,True MC Data,Data
2684400.0,True MC Data,Data
2475700.0,True MC Data,Data
2399000.0,True MC Data,Data
2416200.0,True MC Data,Data
2414700.0,True MC Data,Data
2550400.0,True MC Data,Data
2580300.0,True MC Data,Data
2418000.0,True MC Data,Data
2421900.0,True MC Data,Data
2501800.0,True MC Data,Data
2408600.0,True MC Data,Data
2549600.0,True MC Data,Data
2541700.0,True MC Data,Data
2340500.0,True MC Data,Data
2345200.0,True MC Data,Data
2456900.0,True MC Data,Data
2470200.0,True MC Data,Data
2551900.0,True MC Data,Data
2554000.0,True MC Data,Data
2415800.0,True MC Data,Data
2413300.0,True MC Data,Data
2519200.0,True MC Data,Data
2549500.0,True MC Data,Data
2314500.0,True MC Data,Data
2482600.0,True MC Data,Data
2416200.0,True MC Data,Data
2350400.0,True MC Data,Data
2631400.0,True MC Data,Data
2403000.0,True MC Data,Data
2421400.0,True MC Data,Data
2377900.0,True MC Data,Data
2435100.0,True MC Data,Data
2323200.0,True MC Data,Data
2351800.0,True MC Data,Data
2294500.0,True MC Data,Data
2375600.0,True MC Data,Data
2313100.0,True MC Data,Data
2306000.0,True MC Data,Data
2423800.0,True MC Data,Data
2451800.0,True MC Data,Data
2519200.0,True MC Data,Data
2451700.0,True MC Data,Data
2471100.0,True MC Data,Data
2355900.0,True MC Data,Data
2597400.0,True MC Data,Data
2635300.0,True MC Data,Data
2508600.0,True MC Data,Data
2451500.0,True MC Data,Data
2428400.0,True MC Data,Data
2333800.0,True MC Data,Data
2461500.0,True MC Data,Data
2329400.0,True MC Data,Data
2422600.0,True MC Data,Data
2459500.0,True MC Data,Data
2560000.0,True MC Data,Data
2511500.0,True MC Data,Data
2418200.0,True MC Data,Data
2324800.0,True MC Data,Data
2383100.0,True MC Data,Data
2600000.0,True MC Data,Data
2468200.0,True MC Data,Data
2520800.0,True MC Data,Data
2651400.0,True MC Data,Data
2473000.0,True MC Data,Data
2386900.0,True MC Data,Data
2478000.0,True MC Data,Data
2404000.0,True MC Data,Data
2209000.0,True MC Data,Data
2374800.0,True MC Data,Data
