Line Number,Haughton Value,Pitcaple Value,Shift Value,Area
1,361.23532543029074,73.93114881339044,-16200.89687796774,2569000.0
2,273.83227606046466,89.60334560378166,-34113.137866409204,2534000.0
3,229.7236137916205,93.64712359782514,-36341.80910505168,2288900.0
4,255.26957233266876,62.248777604628174,-15230.746344523644,2301500.0
5,298.15862033737955,54.835585614227526,-35213.94815481703,2348400.0
6,301.6075718993317,64.10136649916204,-34415.54983154799,2445300.0
7,349.90884653282603,87.29892417277577,-1913.5060339287936,2552000.0
8,281.39155766623844,69.00095159920232,-59946.29641348812,2450200.0
9,264.9123462477689,57.02845310819896,-6956.957346916821,2282200.0
10,349.7936316630712,89.83169604562812,12431.816184967916,2539400.0
11,367.884930208466,76.84886712538061,-18912.20800166877,2593800.0
12,300.4702044662929,77.5226751012115,12191.730325696142,2279600.0
13,269.268450994144,70.93229651770888,-17046.856426285296,2387600.0
14,281.7510002078895,78.70054962298255,7821.214968937587,2460000.0
15,310.4200356323229,68.55626501399446,-6396.012729568198,2517200.0
16,297.1438706662336,70.76105977429619,1203.2866358979045,2450100.0
17,311.14548879414934,66.76798726659452,-19299.819576452697,2465100.0
18,216.757420260023,64.03131667508417,-24061.00030012861,2212600.0
19,298.8859146168694,100.40016591261688,-17946.51946516624,2565800.0
20,285.10646757118985,79.24933185960428,-23030.336222663813,2523500.0
21,376.21265937471367,69.39456043302943,-27367.405467289227,2604200.0
22,315.1083895834691,67.90837744571571,-17956.977233082198,2412500.0
23,333.4410926313953,96.199104017789,29699.42641387831,2602200.0
24,372.4286432119739,77.39093382405188,-18218.78408118178,2646200.0
25,339.3242621028157,52.96878020985385,-21373.829904265574,2303000.0
26,282.49097382955625,66.23335480215076,-229.8663988054268,2440000.0
27,306.72819263157567,71.17612512499491,28753.60250604765,2381800.0
28,276.85094120377704,73.23925031677278,-36061.23982860746,2367600.0
29,276.3764609245594,74.13437239706889,-31134.006173578124,2431000.0
30,285.71380571785664,61.09181128614611,-12305.71588499133,2309400.0
31,293.94857653698926,69.19585320810944,-37417.41038219655,2421900.0
32,233.8395296494064,88.67861772137398,-12597.591327109303,2417500.0
33,290.6805821857533,78.56528439627544,-22225.816382039357,2395600.0
34,298.11015136480967,64.1804425304116,-15327.215228457357,2384100.0
35,251.29516703796295,77.65114280526525,-7746.356792564191,2433100.0
36,289.01067511790967,61.385832198480585,-14678.245111938357,2406900.0
37,305.74861172274404,72.55473320565585,10330.272743447273,2415100.0
38,220.29144343114447,68.60851273814647,-34983.881319667154,2222300.0
39,303.8064639900267,83.09751611730637,-10556.040743571808,2547200.0
40,313.51425919231417,77.11552660212078,-27814.20527480729,2451100.0
41,280.4161239450758,84.05165602426493,-12794.438848443777,2517800.0
42,270.31954007532033,79.36426713361146,-17027.25260561751,2436800.0
43,275.3632721248489,76.38349646578891,2355.9078356861028,2319100.0
44,295.8997669960603,83.64016862865309,-16000.720216779437,2565200.0
45,272.42578931691054,87.91923153789246,-557.4603493850609,2481500.0
46,319.7445980321056,100.81783589570256,-17841.655329033085,2637000.0
47,325.6609896996724,79.17298694676403,-48875.97021527832,2430500.0
48,301.5897836732057,69.81928650210268,-33966.733819784495,2492400.0
49,249.09925340859988,75.90374768119054,-50793.60926359164,2353400.0
50,281.8277648171806,64.77399413494737,-36342.05085249612,2422200.0
51,332.1787443553447,79.14461696919618,-24016.25840858183,2574500.0
52,246.70278805698064,74.17192217203804,-21789.591465789035,2380600.0
53,251.2829220849784,71.9861064188671,-31631.99309382123,2172100.0
54,329.2102935431932,91.39243785364977,5980.661099996174,2645900.0
55,308.2577793920748,82.71017758105245,3084.977230135635,2564600.0
56,272.0118297494417,66.68219288038682,-9914.647990360589,2246800.0
57,352.87995089622194,71.1768855981875,-35809.82884294789,2594900.0
58,260.2689152889095,83.83077286832085,-16283.964749957917,2463300.0
59,277.7522711258835,76.39245014095121,-17549.945951094112,2474200.0
60,287.5589976963716,70.95668785314722,-15789.986713327044,2470400.0
61,300.30835415156093,90.8674469732202,-15960.207892723163,2598900.0
62,266.02230221949304,81.75166277671359,-36597.71603846135,2442600.0
63,293.68908411521136,89.94456781049077,-64952.7328926101,2586400.0
64,324.61555668557304,82.9046302915711,-14704.359555476303,2533200.0
65,302.5795539392965,69.34835430898379,-3267.645785380064,2506800.0
66,272.56458194387284,86.82910884505121,-31672.319459585786,2529200.0
67,281.2294401817932,88.44752968284116,-54916.25682516097,2391200.0
68,326.76153322012243,72.7030723704747,-8778.290515032659,2430600.0
69,287.1516630957314,67.43940820936692,15009.265211383834,2458400.0
70,265.3615372587841,59.33724936367364,-18182.094547033263,2276500.0
71,245.26355784475763,91.627490798373,4361.338052791736,2450000.0
72,278.1575296422891,63.0664222796692,-2892.532879585806,2296700.0
73,268.6630994309085,73.63437410315645,-11155.46399340934,2389400.0
74,302.1477005961986,75.99905230836504,1251.6788057183876,2541700.0
75,279.36985229597536,71.11469110471162,-37504.63495148891,2461600.0
76,313.8711848208229,63.63392791853255,-15891.27709482242,2394000.0
77,294.5457455427812,78.51820395483314,-4860.996706552691,2337900.0
78,290.2140101186651,68.84476823792673,-17706.836313241765,2429400.0
79,241.83738039810189,74.60067456829455,-7206.669348806221,2295800.0
80,281.23464306784774,78.48324604539219,12179.20746848065,2432600.0
81,306.703439140246,73.07021195799102,-29768.975112481738,2511300.0
82,307.59810179874216,77.10389494056903,-20313.545856301647,2461300.0
83,324.4791634900985,78.72233782168566,12805.831107710128,2437300.0
84,304.2695594517036,52.71516679558641,-6750.195098451481,2318900.0
85,255.87911223958787,74.01229962327251,-44868.72249746296,2314500.0
86,268.9660395884997,80.37905400013976,-14122.900397679314,2481100.0
87,324.9138494944373,74.17341494849535,-28953.452530397863,2523200.0
88,349.68275631007026,70.30601423051053,-13582.744692534216,2496200.0
89,306.494676818825,76.15345591630917,-10981.163344155304,2540400.0
90,343.1594251609854,88.42653195720176,-14448.334701726131,2587500.0
91,354.2792602073312,73.22287195199173,-19883.66825016496,2535400.0
92,314.8043203244867,71.22531427625009,-20650.786185404453,2508600.0
93,340.9076488630231,83.06726199473732,-19286.66068907493,2515200.0
94,278.74366003531503,62.45431622876456,-10006.44682815346,2380400.0
95,255.3139969342031,62.3163145959785,-3159.6244920741537,2193800.0
96,208.56654048437167,74.20123525117673,10533.680126710617,2219000.0
97,329.5570959076872,87.18880234989403,2833.792208804338,2624600.0
98,361.7251417924041,81.9545208061447,301.14879004095746,2645600.0
99,364.8746860682791,59.25223583909336,-52024.32582325016,2506100.0
100,328.6973588340408,55.88138798357414,-24626.52876911365,2337500.0
101,300.8177550875825,103.74342518932316,-19280.677398530224,2641600.0
102,274.25598146732744,84.21716661890014,-16911.22459659228,2519400.0
103,260.0734896942172,79.13680505012745,-13145.079978203124,2461600.0
104,327.0295632858871,64.19579261429247,7271.006114294571,2387400.0
105,333.1013852156623,97.0934635516824,-8175.650587119675,2625600.0
106,277.3839729254151,87.38800138707276,-11747.927319587605,2477800.0
107,338.7743129278959,71.74686069606287,-22982.075237860583,2468700.0
108,304.3434867293715,84.02988970441844,23826.730274044174,2506300.0
109,283.96942655930195,64.4350414434659,-23111.01477580147,2393100.0
110,295.2657649442602,78.37235563497481,-35152.28044352938,2253800.0
111,254.7050472771836,74.40594672430096,-26564.22802508922,2363100.0
112,294.3300738455427,65.96949320730293,21270.007065119116,2305400.0
113,309.5890041351149,64.18179346278336,-6675.369733060496,2481800.0
114,256.1094837165391,82.97475882823564,-15581.101788251446,2350400.0
115,300.0932496001854,71.5920885255269,-71739.20436840385,2472200.0
116,349.15764947504374,63.0733270037121,16780.877573603044,2546300.0
117,282.9776121871452,98.51981823843448,15809.280552393431,2603600.0
118,285.7740332872632,70.01162664280652,-20671.930336627644,2380000.0
119,345.3939981125359,71.93545394820649,14153.365754901552,2435600.0
